VISIT_AREA_TYPE_CD,VISIT_AREA_NM
11,맥도날드 중산 DT점
11,8빙수
3,국립 세계문자 박물관
4,교보문고 송도 바로 드림센터
4,ZARA 트리플 스트리트점
11,화화쿵주마라탕
4,ABC마트 GS 송도 트리플 스트리트점
24,국립유명산자연휴양림
3,올림픽공원 한얼광장
24,체리 호텔
12,세븐스타코인 노래연습장 송파구청점
8,올림픽공원 한얼광장
8,KSPO 돔
11,뼈찜대감자탕
24,토요코인 대구 동성로점
11,OOOA
11,커피 매거진
6,데블 다이스 보드게임카페 대구 동성로점
11,미스터 양꼬치 종로점
11,포도도
11,딘타이펑 명동점
11,스타벅스 명동역점
11,여진 곱
4,삼분의 일
11,다툼 횟집
11,통닭 왕 강남본점
24,호텔 소울하다
11,트리핀 용산역점
11,딘타이펑 영등포 타임스퀘어점
5,스윙 파크 스크린골프장
7,보라매공원
11,여우골 냉면
24,스타즈 호텔 독산 체크인
11,부가 네 얼큰이 금천 시흥점
11,치킨마루 시흥 4동점
24,스타즈 호텔 독산
13,호암산
11,아소정
5,타깃 볼링
11,아깐
12,그믐달 셀프스튜디오 홍대점
10,GS25 용산점
11,느루
3,아이파크몰 용산점
24,아롬 스파 펜션
11,남이섬 웰빙 닭갈비 막국수
10,세븐일레븐 남이섬점
9,쏘카 가평역
11,엄마네 칼국수
11,개화당 본점
1,제이드가든 수목원
10,GS25 가평 가화로 점
12,명지산 주유소
11,우렁이 쌈밥
11,스윙 카페 베이커리
10,남이섬 바이크 센터
11,소나타 카페
11,카페 느리게 걷기
11,남이섬 풍경 닭갈비
11,평에옥 여의도 직영점
10,IFC 몰
11,돈대리 돈가스 백반
4,포천 하나로마트 더둔점
24,수목원 프로방스
11,숲속의 제빵소
4,하나로마트 더둔점
9,익산역
11,버들골이야기 방이점
24,호텔 동그라미
4,롯데리아 롯데백 잠실 광장점
24,머스트 스테이 모텔
12,숲속 한방랜드 본점
3,대원 뮤지엄
11,연남 토마 본점
3,스키핑 땅콩버터 9주년 생일파티 팝업스토어
11,누크 녹
11,하늘 초밥
11,온 뉴하우스
11,스타벅스 경복궁역점
13,트레블 플스 방
11,브루 3.14
13,비트 포비아 홍대 던전점
11,크레이지 카츠
11,노모 먼트
24,글램 트리 리조트
11,칠오 닭갈비
7,다산 생태공원
11,돗가비불쭈꾸미
2,만해기념관
11,두부 만드는 집
11,스타벅스 남위례역점
7,위례역사 공원
11,마라도 해물탕찜 수원 본점
11,신라 갈비
24,서울 큐브 이태원
11,서울 앵무새 용산점
11,쌤쌤쌤
11,브라우티
4,포레스트 빈티지
4,오브젝트 성수점
6,왕숙천 물놀이장
11,메가 MGC 커피 다산 미금점
11,봉순아 피자 남양주 1호점
10,팜스 월마트 다산점
4,구리농수산물도매시장
6,토평공원 물놀이장
24,구리 토평 가족캠핑장
11,스타벅스 구리 인창 DT점
12,정약용 도서관
11,박리 김밥 본점
11,제빵소덤 대성리점
11,소문난 닭갈비
12,롯데마트 맥스 영등포점
11,이이네
9,대구역
4,혜화역 4호선
2,흥인지문공원
11,홍콩 밀크 컴퍼니
2,서울도 본 관광코스 낙산 성곽
11,문문
2,동관왕묘
13,조이 필드
11,파티앤 가든
24,그랜드 하얏트 인천 웨스트타워
11,고래 해물칼국수 을왕리점
11,집 ZIP
11,해궁
9,매송휴게소 서울 방향
4,와 마트
7,청라 커넬워크
24,어머니 집
2,국립생물자원관
11,어부의 밥상 청라점
10,LG전자 베스트숍 청라점
13,클레이 스타 별도 예공방
4,모다 아울렛 인천점
22,고모집
11,카사페 루원점
24,연희장
10,AK플라자 홍대
10,더 현대 서울
11,도마 홍대 본점
12,KBS 본관
11,낸 네
11,림가기
11,카페 아이오 남산
11,훈연
11,칸토
12,웨스트 PC 성수점
11,송계옥 성수점
11,홍 꼬치
10,함루 서울역점
11,친퀘 테레
11,용이네 정육점 식당
11,구자리얼크니 손칼국수 화담숲점
6,효원공원 월화원
4,카페 도화
10,포레스트 스튜디오
10,페어리 트랩
11,버터 맨션
24,화이트벨펜션
11,빽다방 이천 로데오점
5,가평빠지 썸머플레이스 수상레저
11,가평 돼지국밥
11,스타벅스 대치한티점
4,도곡시장
9,영주역
11,전포 여관 건대점
11,샹이 마라 왕십리점
11,송계옥 본점
11,ROYS 롯데월드몰점
11,솔트인 페퍼
4,문래동 창작촌
11,슬롯
10,바이바이바이
10,캄캄
4,광장시장 전 골목
11,육회 자매 집 본점 1호점
11,배스킨라빈스 신림점
11,떡도리탕 강남본점
10,에잇 세컨즈 강남대로점
2,대원사
13,별 비치
24,어린왕자의나무별펜션
6,별 비치
24,어린왕자의 나무 별펜션
24,에어비엔비 스테이다
11,사게 K
11,판초(pancho)
11,카페 레이어드 연남점
10,무인양품 AK플라자 홍대
10,도마 유즈 라멘
24,에어비엔비 누드 콰트로
11,비테도산
3,이레 서적
2,석남사
24,서운산 자연휴양림
13,안성 서운산 목재문화체험장
11,우리 동네 파바로티
11,이월 서갑
9,오남역 4호선
10,이마트 진접점
1,그래너마 하우스 주변 계곡
24,에어비앤비 그래너마 하우스
11,실버 팟
11,스시 오오 모토
3,공간 와디즈
3,샤넬 코드 컬러 팝업
11,스타벅스 성수역점
3,소극장
11,광주 집
11,참맛 맥주
11,오죽이네 3호점
11,슈퍼 말차 더 현대 서울
7,반포 한강공원 달빛광장
11,귀퉁이 논현점
24,아나 호텔
4,서울 앵무새
11,브라운 래빗 서울숲점
10,이마트 창동점
10,심봉사도 로케 김포대곶점
11,그린 홀리데이 키친
24,강화 쑥쑥 펜션
3,아르미애월드
9,대소 버스공동 정류장
4,롯데리아 남부터미널점
11,콘웨이 커피
12,폴라 스튜디오 압구정점
11,벽돌 헤피 푸드 압구정점
4,하우스 도산
4,그랑 핸드 도산
4,조이 그레이슨 도산
4,신문 플래그십스토어 도산
9,김포공항 역 5호선
9,왕십리역 5호선
4,이마트 왕십리점
11,빕스 제일 제당센터점
3,코엑스 신한카드 아티움
11,텍사스 로드하우스 현대 프리미엄 아울렛 김포점
11,복이 네 명동칼국수
22,마석역 신도브래뉴 2차 아파트
7,마석우천 길
24,브라운 도트 호텔 을왕리점
11,카페 블랑
5,현대요트 인천지점
11,전남 회 조개구이
11,카페 아키라
24,이끌림 호텔
13,행리단길
11,카페의 히
11,코코 이마
4,써브웨이 청량리 역사점
4,별마다 도서관
11,덕인관 더 현대 서울
10,롯데백화점 본점
24,서울시 강북구 송정동
11,스태미나 하우스
11,빵과 당신
4,마트 킹 평택점
11,정선 곤드레 쌈밥
11,투썸플레이스 평택 베스트원몰점
7,PPO
11,진대감 종로점
3,낙원악기상가
11,플리퍼스 익선점
4,영풍문고 종각 종로본점
13,하이커 그라운드
4,노티스 종각 하이커
4,다이소 명동역점
11,커피빈 명동거리점
4,피안에 이(hbaf 아몬드 과자 전문 매장)
24,3S 호텔 소래점
11,기쿠 스시
11,더 벤티 인천 라 피에스타점
3,메가박스 인천 논현
7,한아름 근린공원
4,포토 시그니처 인천 소래포구점
11,인천맛집 통 큰 해물칼국수
11,그랜드 인터컨티넨탈 서울 파르나스 클럽 인터컨티넨탈
4,파르나스 몰
12,그랜드 인터컨티넨탈 서울 파르나스 메트로폴리탄 수영장
5,그랜드 인터컨티넨탈 서울 파르나스 메트로폴리탄 수영장
4,그랜드 인터컨티넨탈 서울 파르나스 클럽 인터컨티넨탈
11,맥도날드 덕소점
8,세미원
7,다산 중앙공원
9,왕십리역 2호선
11,만경 두부마을
24,강가의 별장(에어비앤비)
10,이마트 24 광주 퇴촌 미래점
11,번트 오렌지
12,마포 새빛 문화숲
11,테이스티 버거
4,컴포즈커피 구로 깔깔 거리점
11,포슈 커피
11,아라포
4,빽다방 일산 라페스타점
11,혼가의 베트남 쌀국수 3호점
4,여로
7,설봉공원
11,돈과 네 옛날 김치 돼지찌개 백암점
11,추오정남원추어탕
24,T7 호텔
11,훠궈야 광교 애브뉴 프랑점
4,밀탑 광교 애브뉴 프랑점
4,벌투 봉화당 이천 로데오점
11,도가 부대찌개
4,애브뉴 프랑 광교
11,소이 연남 신세계 본점
4,마장축산물 시장
11,이화 김밥
11,아미당 용산점
11,고메즈 릿지 잠실 롯데점
4,토이저러스 롯데마트 제타 플렉스점
4,롯데마트 제타 플렉스
11,팔당 반점 본점
11,신내 보리밥
7,소노휴 양평
11,다연
11,배밭 갈비 분당점
7,분당중앙공원
9,하이파킹 구로원메디타운 주차장
4,21아울렛 구로점
4,이삭토스트 동양 미래대점
4,교촌치킨 동양미래대학점
8,고척스카이돔 전면 광장
8,고척스카이돔
7,고척스카이돔 전면 광장
12,LG전자 베스트숍 구로 본점
4,신세계백화점 타임스퀘어점
11,코트야드 바이 메리어트호텔 모고 바
11,쉐이크쉑 타임스퀘어 영등포점
11,광주 곱창
24,다나 호텔
11,삼성 치킨 골뱅이
12,락휴 코인 노래연습장 종로 관철점
2,국립현대미술관 서울관
11,산 만선 루프탑
11,도연 회포 차
11,부베트
4,노티스 명동 라인 프렌즈
10,ZARA 눈스퀘어점
10,ABC마트 GS 명동중앙점
24,AC 호텔 바이 메리어트 서울 강남
4,롯데면세점 월드타워점
11,AC 호텔 바이 메리어트 서울 강남
12,AC 호텔 바이 메리어트 서울 강남
11,커피빈 소공동 삼화 빌딩점
11,매드포갈릭 발산점
11,더 벤티 마곡수명산점
24,헤르메스 호텔 에버랜드점
11,dining F
11,왕과 탕후루 용인사거리점
11,장수촌
11,마라 천향 마라탕 계양점
11,설빙 인천 계양구청점
11,명란 식당
11,묘한 빵집
11,오 쁘띠 베르
11,칸다 쇼바 경복궁점
10,다이소 경복궁역점
11,동대문 엽기 떡볶이 용인 흥덕점
13,모노 키즈
11,호우섬 현대백화점 판교점
1,하늘정원
11,쿠차라 갤러리아 광교점
3,아쿠아 플라넷 광교
2,정약용 유적지 문화관
9,능내역 (폐역)
11,능내옥
2,마재 성지
7,능내 연꽃마을
11,언덕 카페
2,정약용 선생묘
12,정약용 유적지
11,무고로
11,제주도야 비판 파주 운정점
3,예술의전당 한가람디자인미술관
9,기흥 휴게소
9,CU 편의점
5,마린파크 수상 레저
24,파체 펜션
1,대부도 바다 향기테마파크
4,영흥부 협회 센터
11,허밍 카페 찹쌀 꽈배기
11,콩두레
11,청춘 식당
4,동두천시 외국인 관광특구
11,탑동 치킨카페
24,아쯔아쯔 료칸
6,니지 모리 스튜디오
11,오름
5,놀자 숲
11,브레드 타임
4,다이소 분당 서현점
11,카페투오울스
1,수정 어린이 공원
6,서울 식물원
11,카페 코레 우리 서울 식물 원점
4,광교 카페거리
11,꾸어 수원 광교점
11,Los Haus
24,더 숲 하우스
4,가평군 농협 하나로마트 본점
4,국군복지단 관사 마트
11,커피밀
4,마태오
11,하얀 풍차제과 망포역점
24,교동 장독대 마을
6,어메이징 파크
13,장독대 마을 체험관
9,월곶역 수인 분당선
9,초지역 4호선
7,화랑유원지 화랑 호수
3,안산 산업 역사박물관
9,"단원구청, 단원보건소 버스정류소"
9,성포 주공 4단지 버스정류소
4,롯데마트 안산점
3,김홍도 미술관
1,노적봉 인공폭포
7,노적봉
7,안산천
11,롯데리아 안산 DT점
7,성호공원
7,단원 조각 공원
2,성호 박물관
2,이익 선생 묘
1,안산식물원
9,일동 굴다리 앞 버스정류소
9,안산문화물의 광장 버스정류소
11,에그 드롭 안산 고잔점
7,안산 호수 공원
9,양지 고등학교 버스정류소
9,중앙역 4호선
11,도트 블랭킷
13,국립현대미술관 서울관
11,1979라이브 펍 2호점
11,어썸 스피릿 펌킨
12,와이키키 비치 펍
24,큐브 게스트하우스
3,브리가 서울
11,한남 작업실
11,곽병찬 시골밥상
3,WWF
13,피크닉
24,호텔수
10,델픽 안국 플래그십 스토어
4,도토리 가든 안국점
11,간도 초밥집
11,투썸플레이스 남양주 덕소점
11,오르리 단팥빵 본점
11,살롱 드 이터널저니
10,크레용 드 이터널저니
5,워터하우스
9,국민은행 승차장
11,플랜 튜드 아이파크몰 용산점
9,신용산역 4호선
9,삼각지 역 4호선
11,천우 목장
11,펍 피맥
9,인덕원역 4호선
24,엘린 휴버트 펜션
11,여주 막국수
10,이치 하치 행궁점
11,츄플러스
10,인계동 달빛 사진관
11,화이트스노 성균관대점
7,수원화성
11,장안통닭
11,유동골뱅이
10,오래된 숲 수원
4,카페꼼마 갤러리아 광교점
4,ak 영 타운(수원역점)
11,경수 갤러리
1,수원팔색길 화성 성곽길
11,팔달제과
11,삼고집 파주점
11,카페서
11,핏제리아 수프리
11,몬스터 도넛
11,부평 로데오 고기 살롱
11,루틴
4,부평역 지하상가
2,캠프마켓
5,다원 코리아
11,설빙 인천문화의 거리점
11,오동도 바지락칼국수
24,시즌 파이브 펜션
11,오로라 베이커리 카페
11,이도경 떡볶이
11,루소 홈
11,땀 땀 갤러리아백화점 광교점
11,청수당 해림
24,채원당 바이 버틀러리
1,한옥 거리
13,현대카드 디자인 라이브러리
10,노티스 안국
4,팔도 밥상 페어
4,혼술 페어
11,스타벅스
4,스타벅스 학여울역점
3,짜장면 박물관
10,인생 맥주 석남점
24,주안 보석사우나
24,옹암 파라다이스
1,국사봉
1,장봉도 무장애 숲길
7,장봉도 AI 인어 벽화마을
1,작은 멀 곳 섬 다리
9,장봉 선착장
3,영종도서관
11,숨 플라워 카페
11,또 와 돌솥밥 순댓국 5호점
24,앰배서더 서울 풀만호텔
11,반얀트리클럽앤스파서울
11,죠이 인도 레스토랑 신촌점
4,놀숲 종로 관철점
13,앤티크 그릇 만들기
11,홍가 네 영양센터
24,모나 캠핑파크 가평점
11,할머니순두부
11,먼지
10,홈플러스 월드컵점
24,나랑
13,4233마음센터
11,무신사 테라스
3,은산 어울림 생태 박물관
11,킹콩 주꾸미
9,서울역 공항철도
11,을왕리 고기랑 회랑 조개구이
11,카페 717-3
24,연화문 호텔
11,경주 십원빵 을왕점
11,연화문 호텔
11,공화춘 차이나타운 1호점
11,산동 만두 공갈빵
10,후카 후카 스튜디오
11,연어롭다
11,마거릿 연남
1,경의선 숲길공원
24,유니언 호텔
4,국제 전자센터
11,바토스 파르나스 몰 점
11,퍼센트 아라비카 1호점
24,더 노벰버 라운지 인천 송도점
11,송도 간장게장
11,문 올라
9,백석역 3호선
9,송도 달빛축제공원역 인천 1호선
4,NC 커넬워크 거리
12,G 타워 전망대
11,마라 공방 송도점
11,모리셔스 브라운 송도 한라 웨스턴 파크점
9,주엽역 3호선
11,아웃백 스테이크하우스 상봉 홈플러스점
4,101닭갈비
24,망고 키즈 풀빌라
4,약초 드림
9,덕소역 경의중앙선
9,팔당역 경의 중앙선
10,무인양품 스타필드 하남점
10,파리바게뜨 하남사랑점
9,하남 소방서
9,춘천 시외버스터미널
11,임용 백돼지국밥 종각점
3,쌈지길
11,카페 레이어드 안국점
11,배스킨라빈스 안국역점
24,메이커스 X 이쁘다
11,동두천 솥뚜껑 삼겹살 종각점
11,부타이 1막
6,코엑스 아쿠아리움
11,앤티앤스프레즐 코엑스점
10,이마트 춘천점
11,까치나 떡볶이
24,그랜드 팰리스 호텔 인천
11,연돈볼카츠 인천 논현점
4,카페 오즈
10,나이키 송도 직영 상설점
10,ZARA 트리플 스트리트점
9,인천역 버스 매표소
3,여의도 한강공원
12,민트 박스 코인 노래연습장
10,아이스 걸 드림 보이 여의도점
11,테일러 커피 더 현대 서울
10,대진 식자재마트
11,목섬 칼국수
24,리틀 미코노스
13,사에기 갯벌 체험장
4,플로에도 커피 선제점
10,영흥 찐빵 오예 원 데이
4,황금 갯벌
4,카페 폰테
5,대부도 레저 농원
9,옥천역
24,더스테이트 호텔 선유
9,선유도역 9호선
4,안맹 상점 리스테이션
11,호시카와
24,골드 호텔
11,서라벌 아들
11,클라라의 떡 안 커피
4,락앤락 총판
4,킹콩 L 백화점
24,구리갈매대방디엠시티 메트로카운티 오피스텔
11,와플 대학 구리 갈매 캠퍼스
11,뚱뚱이 야채곱창
11,국수당 다산 현대 캠퍼 스몰 점
24,라마다바이원덤 서울 동대문
12,한국리츠협회
11,무드 서울
11,박가 네 빈대떡
11,어프로치 커피
11,일인 향 마포점
11,크롬바커 마포점
11,서울 바나나 커피 을지로 4가점
11,진진 만둣국회점
11,로바다야키 소담
24,더코노셔레지던스
3,소노펠리체 컨벤션
4,오시신 유니버설 불리 청담 부티크
11,연리 희재 갤러리아백화점
4,블라드 봄
3,더파티 움 여의도
3,그랜드 힐 컨벤션
3,호텔 엘리나
2,국립 세계문자 박물관
11,아오리의 행방불명 송도점
12,송해온
11,짜장 마을
24,레이크문오토캠핑장
2,3.8정 카페
11,사부작 카페
4,산리 오러 버스 클럽
11,원시다자숯불양다리구이 본점
12,2NE1
11,산적
24,아이비 스테이
11,아비코 롯데몰 수원점
13,베리 가든
11,우리 소
11,공덕 김밥
13,미니마이즈
11,레에스티우
11,뚜띠 한 남
13,샤넬 코드 컬러 팝업
11,무아
12,서울 서이초등학교
11,베르 두레 성수점
4,굿모닝 시티
6,워터플레이
12,가평군 농협 하나로마트 자라점
24,스카이 펜션
11,아유 스페이스
11,군봉묵은지 김치찜
11,카페 예단
1,선녀바위 문화탐방로
11,조명탄 영종하늘도시점
11,요술 차 영종하늘도시점
11,코히 별장
2,송월동 동화마을
2,국립과천과학관
11,백운동
11,카페 막시 왕송호수점
4,BMW 드라이빙 센터
11,통영 해물뚝배기
2,인천광역시 교육청 교육과 학정 보원 인천학생과학관
11,히츠 자야
11,초이 다이닝 성수점
4,띵굴 스토어 성수점
11,센터 커피 서울역점
11,다복
9,창원중앙역
24,선셋 74
5,선셋 74 수상 레저
11,카페 아우라
11,해낙전
12,천마산 입구
3,CGV 남양주 화도 점
12,남양주세무서
4,이마트 남양주점
4,남양주 동부 새마을금고 호평지점
3,이석영 신흥상회
4,호평 평내 행정복지센터
2,구석기 역사 공원
7,혼만천
1,천마산
11,꿍냐우 행궁점
11,팥도 당 롯데몰 수원점
11,백소장 인계점
3,CGV 동수원
2,효원공원
11,955카페
4,주엽공원
4,그랜드 백화점 일산점
10,꼬마김밥 하우스
10,레이크
9,호구포역 수인 분당선
9,인천 논현역 수인 분당선
1,늘솔길공원 양떼목장
4,홈플러스 인천 논현점
11,한솥도시락 호구포역점
10,다이소 인천 호구포점
10,별난 아이스 호구포점
6,미어캣 프랜쥬
11,돈돌이네 밥집
9,송도역 수인 분당선
11,스시 소라 광교점
11,개군면 해물칼국수
11,용문산 보리밥
11,젤코바
11,가든하다
11,맘 스터디 포천 일동
24,포천 글램핑 앤 카라반
24,세이스테이
11,알바니
11,바다 상회 해물칼국수 파주 본점
13,퍼스트 가든
11,신촌 난향
11,현대백화점 신촌점
3,올림픽공원 올림픽홀
11,전국 낙지 자랑 본점
12,지인 집 주차장
24,오성 건강랜드
13,하루 필름
4,오아시스
11,청춘 클로버
11,아베베 베이커리 서울점
11,메가 MGC 커피 광장시장 남 2문 좀
13,모나미 스토어 성수점
3,KTG 상상 플래닛
11,무지개 맥주 서울 가좌점
24,호텔 스타
11,도쿄 빙수 본점
11,어글리 베이커리
11,차 타임 연남 직영점
4,닥터로빈 AK플라자 홍대
4,다이소 홍대 2호점
4,홍장
11,솔 솥 교대역점
12,가평역 주차장
4,명월촌 오리집
10,플러스마트 가평점
24,메이플 베이
24,비치 트리 펜션
1,대부도 소리길
7,서울대공원 둘레길
11,거북 명태
5,광명 스피돔 경륜본장
4,밤일 꽃 화훼농원
2,충현 박물관
12,광명시 어린이 교통공원
11,포항물회
1,구름산
24,메종 디파 티오
11,가평 메밀촌 가평점
11,Cafe913잣 자라 빵
9,청주 북부터미널
11,미나스 예술의전당점
3,예술의전당 오페라하우스
11,샤브 마니아 청주 오창점
11,컴포즈커피 청주 오창 호수 공원점
9,횡성휴게소 인천방향
24,송도센트럴파크호텔
2,송도 한옥마을
11,할리스 인천 한옥마을 점
10,CU 송도센쓰리점
10,롯데마트 송도점
11,맛깔난 한식뷔페
12,현대오일뱅크 직영 송도 셀프주유소
11,을왕으로 3카페
9,양평 휴게소 원주 방향
11,버드
11,카페 공명 연남 1호점
11,등촌 샤브칼국수 홍대점
4,홍대 예술의 거리
13,집사의 하루 홍대점
9,공덕역 종로3가역
9,삼송역 3호선
1,CU 삼송 소공원 
4,스타필드 고양 에잇 세컨즈
4,스타필드 고양 리얼 컴포트
10,데카트론 고양 스타필드
11,교토가츠규 스타필드 고양점
11,설빙 경기 고양 스타필드점
7,하늘정원 주차장
11,영종 제빵소
12,그랜드 하얏트 인천
12,그랜드 하얏트 인천 웨스트타워
11,그랜드 하얏트 인천 그랜드 카페
12,그랜드 하얏트 인천 이스트타워
9,왕십리역 경의중앙선
11,이가서 식당
24,루사나 호텔
11,로사나 부티크 호텔 뷔페
6,슈퍼 윙스 스포츠파크 롯데 잠실점
24,호텔 더 디자이너스 리즈 강남 프리미어
11,명인 갈비 논현점
11,로시망고 논현점
11,커피 리브레 영등포 타임스퀘어점+오월의 종 타임스퀘어점
11,아비코 타임스퀘어점
3,다이브인
9,평택 지제역 1호선
4,더 홀릭 보드게임카페 평택역점
11,쌍용 폐기 닭 본점
4,그믐달 셀프스튜디오 평택역점
10,세븐일레븐 평택 라마다 점
24,라마다 평택 호텔
1,평택 마린센터
11,시모네
10,오니 오니
11,쇼쿠지
10,포토 그레이 평택점
4,AK플라자 평택
13,굽네 플레이타운
13,카스쿨 팝업스토어
3,더 서울 라이티 움
11,정돈 성수점
11,스시 성북
3,우리 옛 돌 박물관
11,송계옥 압구정점
2,열린 송현 녹지 광장
11,오설록 티하우스 현대미술 관점
3,그라운드 시 소 서촌
11,수내 초밥
7,탄천
4,분당 정자동 카페골목
11,지유가오카 브레드 분당 정자역점
24,르컬렉티브 시흥 웨이브 파크
13,슬로 그라운드
11,랑데자뷰 시흥 거북 성점
4,온담 코다리 한상
24,바라산 자연휴양림
11,선일 목장 정육 식당
4,명장 시대 백운호수점
11,어랑추
4,수동농협 본점
2,연천 경순왕릉
2,연천 땅 포성
11,약수 오리
24,고대산자연휴양림
1,포천 아우라지 베개용암
11,그 남자의 떡볶이집
11,상두 그레이
24,위드 모텔
4,전통 혼수 거리 중앙시장
4,솔빛 일상 송현시장
10,다이소 신포국제시장점
1,자유 공원
7,자유 공원 맥아더 장군 동상
7,자유 공원 한미수교 백 주년 기념탑
4,청년 백범 김구 역 사거리
4,향미단길
4,자장면 원조의 거리
4,삼국지 벽화거리
4,역사 문화의 거리
4,신포 패션문화의 거리
12,서울 심리지원 서남 센터
11,작은 오븐
11,아 네 몸 오네
11,삼국 만두
11,홍두병 차이나타운점
3,한국 근대문학관
3,근대문학관 기획전시관
11,카페 코히
10,문학 소매점
11,꽁커피
6,여의도 한강공원 수영장
4,겨울이 머무는 집
11,산하신 승부
24,바 모르 호텔
11,성수동 오고 카페 oGo
11,후라 또 식당 상수 직영점
4,브라더 굿즈
5,꾼 낚시 카페 홍대 신촌점
2,세종대왕 동상
3,국립현대미술관 서울
11,포비 광화문점
11,서울 영등포 영등포동 618-501
13,현대모터 스튜디오 서울
11,딤딤섬
10,길운 문구
11,신간 짬뽕 김포점
11,소소한 우 다락 말
6,스머프 매직 포레스트 하남점
11,KFC 미사역점
6,점핑 파크 서초점
11,수티 더 현대 서울점
11,사운드웨이브 카페
24,도미 인 서울 강남 호텔
11,핫쵸
4,탬버린즈 플래그십스토어 신사점
11,미뉴트 빠삐용
24,도미인서울 강남 호텔
11,육개옥
4,Apple 강남
4,무신사 스탠더드 강남
3,용산가족공원
11,60계 경리단길점
11,그랜드 하얏트 서울 델리
5,그랜드 하얏트 서울 야외수영장
10,사랑방칼국수
11,스타벅스 서울 웨이브 아트센터점
11,시골집 우렁이 쌈밥
11,안다미로
11,쌍용이각
2,수원 화성 서북공심돈
2,수원 화성 북동적대
11,고매 커피
9,성남 휴게소(외측 방향) 전기차 충전소
11,난포
11,제스티 살룬 성수
3,서울로 717
11,다케오호르몬데판야끼
4,올디스타코
11,사랑방칼국수
9,지식 정보단 지역 인천 1호선
2,기생충 포토존
11,맘스 키친
9,다이소 선유도역점
11,너도나도 식당
7,양화한강공원
11,샤의 바나 광화문점
11,레더라 SFC 점
11,쿠모쿠모베이커리
11,구락 다복
7,석모도 미네랄 온천
10,편의점
11,온리 주꾸미 군포 본점
11,바나 프레소 AK 금정점
22,광교 센트럴 푸르지오 시티 오피스텔
11,다운 다우너 광교 갤러리아
11,감성 타코 광교점
4,갤러리아 광교 파사주
11,지파시 갤러리아 광교점
9,영통입구 정류소
4,규카츠정 연남점
4,무신사 개러지
11,32파르페
4,에잇 스톤스
11,흑아당 홍대 2호점
24,청파 책가도
11,순미네 행복 게장 동대문 직영점
11,청파 책가도
11,북촌 손만두 북촌점
11,빛이 든 공간
1,서울 명예도로 감고 당길
11,빕스 일산점
4,기아 운정지점
9,유림 고속버스 정류장
9,고속터미널역 7호선
9,공릉역 7호선
4,공릉동 도깨비시장
2,서울 생활사 박물관
4,코스트코 상봉점
9,태릉입구역 7호선
9,유림 고속버스정류장
9,유림동 방축 정류장(29452)
9,동백역 에버라인
11,김종구 부산어묵 동백역점
2,용인시 박물관
1,용인중앙공원
11,만미정
11,현선이네 용산 본점
11,도토리 베이커리 카페 신용산점
11,던킨 동탄 제일병원점
9,파주출판도시 자유로 휴게소 주유소
13,엔조이 터키
11,오백 년 누룽지 백숙 프로방스점
24,골드힐 호텔
24,양지파인리조트
6,에버랜드 정문
6,에버랜드 허리케인 어트랙션
6,에버랜드 롤링엑스트레인
6,KFC 용인 에버랜드점
6,에버랜드 아마존 익스프레스
6,에버랜드 슈팅 워터 펀밤밤 클럽
6,에버랜드 밤밤  서머 나이트
6,에버랜드 문라인드 퍼레이드
6,오오 츄
6,에버랜드 Evertopia
6,캐리비안베이 매표소
6,캐리비안베이 파도 풀
6,캐리비안 베이 어드벤처 풀
6,캐리비안베이 와일드 리버풀
6,캐리비안베이 네일 스티커 체험 및 구매
6,캐리비안베이 유수풀
6,캐리비안베이 라꼬 스타
6,캐리비안베이 파도 풀 클럽 캐비 풀 파티
6,에버랜드 샤워실 및 퇴장
6,캐리비안베이 피크닉
11,고 청담 스타필드 고양점
11,미루꾸 커피 스타필드 고양점
2,국립어린이과학관
11,성북동 칼국수
3,하땅사 극장
4,승진 완구
11,란저우 우육면
3,환기미술관
11,산모퉁이
7,부암동 일대
11,레뷰
2,이천 보고가
11,마이트
4,바비큐 캠프
9,CU 대곶 로드점
11,봄봄스
11,일마레
11,풍미
3,인천시민에 집
11,이디야커피 인천 차이나타운점
4,차이나타운 거리 공가네 중국제과 담
3,갤러리 B
9,광화 문책 마당
5,선셋 74
11,솥뚜껑 닭볶음탕
9,천안역 1호선
9,정왕역 4호선
24,하운드 호텔 거북 성점
4,오이도 종합 어시장
9,천안역
9,부평구청 역 7호선
11,스폰 타니티
11,정육면체
11,스타벅스 신촌점
11,옥경이네 건생선
4,서울중앙시장
11,이태리 양조장 연남점
11,이억만 껍데기
22,글로리아 빌
11,메밀촌 두부마을
1,중원계곡
24,망능리43-7
24,경기도 양평군 용문면 상망길 143-7
4,구벼울
1,사나자 계곡 주차장
4,용문산 황해 식당
11,카페 문리
8,부평역 시장으로
4,부평평리단길
11,꾸어 부평점
10,포토 드링크 부평점
8,부평역 시장으로 공연 관람
11,슬로스
11,장인 닭갈비 명동점
11,통의동 단팥
11,천계 닭갈비
3,의정부 미술 도서관
11,미도인 의정부역점
9,의정부중앙역 의정부 경전철
10,탑텐 의정부점
4,C27 신세계 의정부점
11,서보(족발 덮밥 맛집)
11,개나리 아귀찜
11,핏에 리아오 경리단길점
3,그래픽
13,현대카드 뮤직 라이브러리
13,현대카드 아트 라이브러리
11,양은 냄비
11,청목 일산점
1,고양 생태공원
1,고양 피크닉 시민공원
3,일산 호수공원
24,킨텍스 바이 케이트 리
11,요거구나
3,윗말공원
11,하오 커피 일산후곡점
